title,price,original_title,publisher,release_month,release_year,pages_num,pg,cover_type,publication_type,authors,overview,url
O Incrível Hulk Por Peter David Vol. 1 (Omnibus),"R$404,90","Incredible Hulk (1962) 328 e 331-368, Web of Spider-Man (1985) 44, Fantastic Four (1961) 320 e materiais de Marvel Comics Presents (1988) 26 e 45",Marvel Comics,Julho,2023,1008,12 anos,Capa dura com sobrecapa,Omnibus & Edições de luxo,"Bob Harras, Dwayne Turner, John Ridgway, Peter David, Steve Englehart, Todd McFarlane","O início da lendária fase de Peter David à frente do Incrível Hulk, que redefiniu o clássico personagem da Casa das Ideias, incluindo toda a sua colaboração com a estrela em ascensão Todd McFarlane! Hulk, agora um golias de pele cinza, está mais furioso do que nunca — avançando contra ameaças do além morte, do espaço sideral e da casa ao lado! A fase que revitalizou o mais clássico dos vilões do Hulk, o Líder; além de dar ao Hulk uma nova vida em Las Vegas! É a chegada do Tira-Teima, e de seus contos que misturam a intriga dos cassinos com aventuras interdimensionais!",https://panini.com.br/o-incrivel-hulk-por-peter-david-vol-1-omnibus
O Espetacular Homem-Aranha Edição Definitiva Vol. 11,"R$215,90","Amazing Spider-Man (1963) 155-166, Amazing Spider-Man Annual (1964) 10, Marvel Team-Up (1972) 48-55, Spectacular Spider-Man (1976) 1-3 Marvel Team-Up (1976) 1",Marvel Comics,Julho,2023,496,12 anos,Capa dura,Livros e Edições Especiais,"Bill Mantlo, Gerry Conway, Jim Shooter, John Byrne, Len Wein, Ross Andru, Sal Buscema","Além do tão aguardado casamento de Betty Brant e Ned Leeds, este volume também traz muita ação e suspense! O Tarântula e Kraven, o Caçador, estão sequestrando importantes figuras políticas da cidade de Nova York e o Escalador de Paredes une forças com o Justiceiro para impedir o que quer que os vilões estejam planejando. Para piorar ainda mais a situação, Stegron sequestra o filho do dr. Curt Connors e talvez somente seu escamoso ",https://panini.com.br/o-espetacular-homem-aranha-edicao-definitiva-vol-11
VXE: Juízo Final 03,"R$29,90","A.X.E.: Judgment Day 5, A.X.E. Avengers, A.X.E.: Death to the Mutants 3, A.X.E.: Starfox",Marvel Comics,Julho,2023,96,12 anos,,Revistas Periódicas,"Federico Vicentini, Guiu Vilanova, Kieron Gillen, Valerio Schiti","Tony Stark passou a vida construindo trajes para proteger a si mesmo. Agora, ele precisa entrar em um traje que tem em suas mãos a vida de absolutamente todos no planeta. Será ele capaz de sobreviver? Será qualquer um de nós? Com o fim do mundo cada vez mais iminente, a Máquina que é a Terra não está tendo um dos seus melhores dias, e conforme nossos heróis se perguntam se não será tarde demais, Starfox de Titã pode ser a salvação pela qual todos esperam. Ou talvez ele prefira esperar pelo fim com um drink. A sorte do mundo está lançada, e se aproxima a culminação do JUÍZO FINAL!",https://panini.com.br/vxe-juizo-final-03
O Espetacular Homem-Aranha Vol. 8 / 52,"R$27,90","Amazing Spider-Man (2022) 12, Spider-Man (2022) 2-3, Marvel Voices: Comunidades (2021) 1",Marvel Comics,Julho,2023,80,12 anos,,Revistas Periódicas,"Alitha Martinez, Dan Slott, John Romita Jr., Mark Bagley, Zeb Wells","Planador contra planador, bomba contra bomba, Duende contra Aranha?! O novo traje do escalador de paredes está prestes a ir à prova nas circunstâncias mais horripilantes possíveis - e nenhuma batalha que Peter Parker enfrentou até agora vai ser mais árdua que essa. Paralelamente, o Fim do Aranhaverso se aproxima! Depois dos eventos trágicos da última edição, os heróis-aranha multidimensionais tentam esboçar um plano para derrubar Morlun de uma vez por todas... mas ele não é seu único problema! Shathra está de volta, e mais poderosa que nunca! Tudo está contra os lançadores de teias, e será que seus esforços vão realmente conseguir impedir que o Aranhaverso colapse para sempre e irreversivelmente?",https://panini.com.br/o-espetacular-homem-aranha-vol-8-52
Os Vingadores Vol. 53,"R$31,90","Avengers (2018) 61-62, Thanos Death Notes (2022) 1, Thor 29, Marvel’s Voices Legacy (2022) 1",Marvel Comics,Julho,2023,112,12 anos,,Revistas Periódicas,"Andrea Di Vito, Ivan Fiorelli, Jason Aaron, Nic Klein, Torunn Grønbekk","Se os Vingadores esperam sobreviver à sua jornada através do tempo, vão precisar da ajuda de alguns dos maiores heróis que já pisaram no planeta - de um Thor da Era Viking e um Estigma T-Rex ao primeiro Mago Supremo que já pisou na Terra: conheça a história através dos olhos de Agamotto. Paralelamente, Thanos está desaparecido e presumido como morto. Mas Thor teve uma visão de seu retorno - e ela é suficiente para atemorizar mesmo um deus. Que segredos sombrios do passado sangrento de Asgard podem vir a ser revelados?",https://panini.com.br/os-vingadores-vol-53
Shang-Chi Vol. 4,"R$49,90","Shang-Chi and the Ten Rings (2022) 1-6, Shang-Chi: Master of the Ten Rings (2022) 1",Marvel Comics,Julho,2023,168,12 anos,,Livros e Edições Especiais,"Gene Luen Yang, Marcus To, Michael Yg","Shang-Chi está agora em posse dos poderosos Dez Anéis. Mas tanta energia concentrada inevitavelmente chama atenção - na maior parte do tempo, indesejada. Caçadores de recompensas, assassinos, associações malignas - todos estão vindo, e todos querem os anéis! Será que o Mestre do Kung-Fu está pronto para a responsabilidade de defendê-los? E, em meio a essa situação, Shang-Chi ainda vai precisar salvar um antigo aliado, enfrentar alguns de seus mais terríveis inimigos em uma arena - e seu caminho pode leva-lo a descobrir a trágica origem verdadeira dos Dez Anéis...",https://panini.com.br/shang-chi-vol-4
Thor E Loki: Irmãos De Sangue,"R$74,90","Loki (2004) 1-4, Thor (2007) 12, Journey into Mystery (1952) 85-112",Marvel Comics,Julho,2023,152,12 anos,Capa dura,Livros e Edições Especiais,"Esad Ribic, J. Michael Straczynski, Jack Kirby, Olivier Coipel, Robert Rodi, Stan Lee","Toda história tem dois lados. Você conhece o de Thor – agora é hora de descobrir o de Loki! O menos favorito dos filhos de Odin reescreve a tradição asgardiana sob sua perspectiva, apresentando as impressionantes artes pintadas de Esad Ribic (",https://panini.com.br/thor-e-loki-irmaos-de-sangue
Wolverine & Nick Fury: Conexão Scorpio (Marvel Graphic Novel),"R$90,90","Wolverine & Nick Fury: Scorpio Connection, Wolverine: Bloody Choices, Wolverine & Nick Fury: Scorpio Rising",Marvel Comics,Julho,2023,192,12 anos,Capa dura,Livros e Edições Especiais,"Archie Goodwin, Howard Chaykin, John Buscema, Shawn McManus, Tom DeFalco","Nessa coleção impressionante, Wolverine e Nick Fury cumprem seus papéis tanto de aliados como de adversários! Quando embarcam em uma missão para deter o terrível gênio do crime, Escorpião, Fury tem suas razões - bastante pessoais - para querer que o vilão seja capturado vivo. Mas o que acontece quando Logan tem uma opinião diferente? Faíscas vão voar! Para além disso, os dois entram em conflito outra vez quando Wolverine sai na caça de um traficante de drogas e abusador de crianças... que está sendo protegido por Fury? Dois dos mais clássicos e habilidosos experts em espionagem do Universo Marvel, numa eletrizante coleção de títulos!",https://panini.com.br/wolverine-nick-fury-conexao-scorpio-marvel-graphic-novel
X-Men: Lendas Vol. 4,"R$39,90",X-Men Legends (2022) 1-6,Marvel Comics,Julho,2023,136,12 anos,,Livros e Edições Especiais,"Ann Nocenti, David Wachter, Javier Pina, Roy Thomas, Whilce Portacio","Antes que GIANT SIZE X-MEN trouxesse TEMPESTADE, WOLVERINE, COLUSSUS, NOTURNO e PÁSSARO TROVEJANTE para a equipe, Roy Thomas já tinha redefinido os super-heróis mutantes em seu período encabeçando os roteiros da série. Agora, depois de todos esses anos, ele retorna aos X-Men revelando histórias do passado nunca antes vistas - missões de WOLVERINE antes de seu recrutamento pelo Professor Xavier e a origem de seu icônico traje, um incidente envolvendo o Fera e mutantes desaparecidos... Para além disso, a lendária Ann Nocenti conta histórias que se passam logo depois de sua série original do LONGSHOT, em que Wolverine e a Lince Negra vão parar no Mundo de Mojo e vão ser testados de todas as maneiras possíveis - serão eles capazes de sobreviver a isso? Por fim, Whilce Portacio retorna para finalmente revelar a gênese da missão de viagem no tempo de BISHOP que fez com que ele deixasse seu tempo no futuro até chegar ao presente dos X-Men. Verdades obscuras estão prestes a ser reveladas, e o momento chegou para todos provarem até onde estão dispostos a ir para corrigir seus erros do passado.",https://panini.com.br/x-men-lendas-vol-4
Batman 06/88,"R$27,90","Batman (2016) 131, Detective Comics (2016) 1059-1061/1066",DC Comics,Julho,2023,80,12 anos,,Revistas Periódicas,"Chip Zdarsky, David Lapham, Ivan Reis, Mike Hawthorne, Ram V, Sina Grace","Gotham City está em seu momento mais sombrio e perigoso. Depois do Salvaguarda, não existe mais Batman para salvar a cidade. O que aconteceu com o homem conhecido como… Bruce Wayne? E quando o demônio Azmer assume controle do lado Harvey Dent do Duas-Caras, cabe à personalidade má salvar ambas as partes antes que seja tarde demais. E mais: um conto completo da Gotham Girl!",https://panini.com.br/batman-06-88
